id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
PDAyojrwbp5AnX04UkfB,sábado,"12:24:13,963","12:24:18,049","12:24:24,888","12:24:35,871",efectivo,
PUlvXIew1PKB4uefYPjH,sábado,"13:55:06,390","14:02:50,211","14:03:02,272","14:03:18,516",efectivo,Eran viejitas entonces me movieron lento de la fila
RjFS1xt6dN8yj6hZaU77,sábado,"14:03:33,560","14:03:35,578","14:04:09,603","14:04:09,855",efectivo,
Q0SAIC0GQLIHO1864kpM,sábado,"11:47:26,715","11:47:51,474","11:47:59,750","11:48:20,956",Tarjeta,
lnFOqdhevRvq3Gr5ZfMQ,sábado,"14:10:42,287","14:12:30,233","14:12:47,135","14:12:56,113",efectivo,
RsVqrsnj2Zl3kGjApw6I,sábado,"12:40:41,918","12:42:14,985","12:42:52,212","12:43:12,573",Tarjeta,
l5ONO0tCin8vDhRDeQsL,sábado,"13:44:51,136","13:49:12,405","13:49:32,652","13:50:35,626",efectivo,Se trabó el sistema al momento de subir el pedido 
lVV8E4rWP0xkEwWvkJ1m,sábado,"14:48:39,241","14:51:38,725","14:52:03,753","14:52:19,379",Tarjeta,
QmwnXOdhWTECBgoLNcKR,sábado,"12:03:15,223","12:03:19,120","12:03:46,664","12:04:01,001",Tarjeta,
Tx33s47He11sFs7tn6At,sábado,"14:13:23,396","14:13:48,214","14:13:55,367","14:14:16,715",Tarjeta,
nlcxMIF8FqwmPQ8oxItM,sábado,"13:45:00,504","13:50:39,927","13:51:19,095","13:53:53,465",bono,"Explicación de los helados por la cajera, el datáfono se volvió a dañar y tenían problemas para pasar el bono"
mIGjYE2JOvv1p7EmPFon,sábado,"14:34:16,278","14:36:08,338","14:36:16,449","14:36:29,969",Tarjeta,
OS1uPf2OoW7Si9QHBrhO,sábado,"13:55:03,076","13:56:00,148","13:56:14,175","13:56:25,381",efectivo,
ewiFoEytTJQyrFhWnDqv,sábado,"14:05:52,159","14:06:39,145","14:06:56,967","14:06:59,022",efectivo,Cajera en cocina
JUoyqBem8730ohLoJEzq,sábado,"12:04:10,726","12:05:05,650","12:05:16,994","12:05:22,647",efectivo,
plnlIJucr5z6rtoZtGPD,sábado,"12:01:35,578","12:01:51,230","12:02:28,266","12:02:57,432",efectivo,
Jx8oKvzWVJhbiGhE5xva,sábado,"14:17:19,247","14:17:58,759","14:18:15,295","14:18:59,442",Tarjeta,
pkhuJ3qXcAJrbvxNIlSj,sábado,"13:26:26,487","13:27:52,000","13:28:12,831","13:28:49,957",Tarjeta,
KbmGE7TAkpY2aMisNzPk,sábado,"14:09:42,415","14:10:22,463","14:10:39,799","14:10:50,188",bono,
KoISZs4iQgo1lWYr8mrG,sábado,"12:11:45,263","12:12:32,075","12:12:40,577","12:12:53,167",Tarjeta,
KpWz6FzF3useQwJT4hRR,sábado,"14:20:07,215","14:22:07,430","14:22:17,337","14:22:54,914",efectivo,
otKDvdBgZ6GEMbBCvxcJ,sábado,"12:49:33,477","12:53:42,055","12:53:55,556","12:54:03,954",efectivo,
LHNU8IK31uxqtuL8ejMj,sábado,"14:32:54,308","14:34:27,812","14:34:35,454","14:35:07,974",efectivo,
LhtYow2cRWgaPsbRw4Ox,sábado,"13:51:10,183","13:51:12,951","13:51:15,791","13:51:48,141",efectivo,
oYrdIaZadtCXhu0Nt5fk,sábado,"11:55:28,296","11:55:51,475","11:56:05,447","11:56:24,983",Tarjeta,
LyC08T6NdvMCSJb5o4R3,sábado,"13:07:54,435","13:10:56,753","13:11:46,527","13:12:38,678",Tarjeta,Se volvió a trabar el datáfono 
M2GGJ71rn15nHYpUrDzU,sábado,"13:25:24,927","13:25:26,360","13:26:48,383","13:26:58,241",Tarjeta,Cambiaron su pedido como 3 veces
MGLzGzAY3g8Rb7avvOf3,sábado,"12:43:49,360","12:44:29,436","12:45:06,712","12:45:08,033",Tarjeta,Se quedaron viendo la carta antes de pedir 
MV2t6QXvO7mA0E1G7ln9,sábado,"13:38:37,165","13:42:16,886","13:42:46,677","13:43:11,543",efectivo,
MgOpYuUU7vTklAGS0asc,sábado,"12:50:04,885","12:55:45,020","12:55:52,633","12:57:01,560",bono,
no6ZxdzgbP7xQQPvpRvQ,sábado,"13:28:10,247","13:30:52,257","13:31:12,889","13:31:47,145",Tarjeta,
N2U9sPShPayCClCyCCzp,sábado,"13:01:44,633","13:06:16,945","13:07:02,206","13:07:05,509",Tarjeta,
N3kZPp5slRE3HFnXRRsA,sábado,"13:52:02,416","13:59:50,457","14:00:08,103","14:00:24,446",efectivo,
S1ksT6odOL26qxHO3a1j,sábado,"14:28:57,971","14:29:59,757","14:30:04,787","14:30:08,171",efectivo,
N7xNYQKHiCkpc0ZUF86h,sábado,"14:59:35,497","15:04:49,634","15:05:19,784","15:05:26,770",Tarjeta,
nZfiJdZf8lMiYmpsQbOq,sábado,"14:58:49,661","15:03:44,532","15:04:08,807","15:04:35,774",efectivo,"Nuevamente la cajera se fue, y llegaron como 5 a la vez, justo 1 minuto antes de las 3, dioooossssss, donde esta  la cajeraaaaaaa"
nYJzf3JWRGTPElKbNRGt,sábado,"14:28:05,911","14:29:35,683","14:30:25,118","14:30:49,176",efectivo,
NYpNFs3PbLStKW8kSkjE,sábado,"14:24:25,534","14:26:08,295","14:26:41,937","14:26:50,794",efectivo,
NkI5VzI54FrowxClp9Br,sábado,"13:43:37,842","13:46:51,311","13:47:04,308","13:47:19,416",efectivo,Cajera en cocina 
NqYcN59NgPw1j1MYvKvw,sábado,"11:59:04,190","11:59:05,817","11:59:13,597","11:59:32,180",Tarjeta,
O2iG5DTCvMmKizFrH0fB,sábado,"12:49:52,620","12:54:06,798","12:54:35,887","12:55:43,145",efectivo,
OFdD9V4OcoadIhp1tWjW,sábado,"14:28:02,744","14:28:36,821","14:28:44,445","14:29:06,394",efectivo,
