,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
603,xlrCDQxCbUOGhridFzwv,viernes,14:40:31.688000,"14:44:58,503","14:45:22,216","14:46:00,490",efectivo,
42,3N6Y15aExaYkcFm2Tp70,viernes,14:33:53.339000,"14:34:27,595","14:34:56,034","14:35:12,942",efectivo,
146,E1lfQ0kXDaQMjs4XQRek,viernes,13:41:01.087000,"13:42:04,118","13:42:05,381","13:42:19,840",efectivo,
278,Ql6s1OHNE8Z3N3wUYnzB,viernes,13:55:35.137000,"13:55:51,995","13:56:10,388","13:56:14,537",efectivo,
39,3G4KmH6zM0TJh5PxbC3z,viernes,13:16:13.445000,"13:16:42,526","13:16:43,040","13:16:46,217",efectivo,
435,fvg37S41uYpoZk1DikvO,viernes,13:32:50.776000,"13:33:22,496","13:33:31,900","13:34:58,440",efectivo,La señora que se le daño la tarjeta interrumpio por que le cobraron doble
31,2UGKnSaYJGXm8tMujOEz,viernes,12:53:06.740000,"12:53:13,432","12:53:21,663","12:54:26,916",efectivo,
129,CoalZzOtDPvh6WMnM8IJ,viernes,14:04:39.712000,"14:05:03,504","14:05:04,203","14:05:11,055",efectivo,
389,casZ8rn0ykReXUQ4OGHb,viernes,14:59:34.077000,"14:59:40,352","15:00:02,419","15:00:18,958",digital,
196,I9Q3RdSti853bfYu1fpe,viernes,13:35:07.174000,"13:36:28,405","13:36:30,323","13:36:35,974",efectivo,La cajera se puso a hacer pedidos y no ateniend
194,I3hCzEbzPlVRXcPIsBpE,viernes,14:52:40.926000,"14:53:08,516","14:53:33,392","14:53:53,426",efectivo,
264,PAtR1zE1f4lRxURR5EHw,sábado,14:46:24.384000,"14:47:50,555","14:48:03,816","14:48:12,413",efectivo,
498,mFFn1TmxZoqfv4rQMTTl,sábado,13:49:48.155000,"13:57:03,267","13:57:34,055","13:57:41,375",efectivo,
276,QTeXPoW7Luh9FcqP9B3o,sábado,14:33:42.077000,"14:35:29,121","14:35:55,771","14:36:03,975",efectivo,
275,QN9lXnZwDcw3fZwVZyc5,sábado,14:48:28.739000,"14:51:05,376","14:51:13,084","14:51:35,340",Tarjeta,
266,PDAyojrwbp5AnX04UkfB,sábado,12:24:13.963000,"12:24:18,049","12:24:24,888","12:24:35,871",efectivo,
267,PUlvXIew1PKB4uefYPjH,sábado,13:55:06.390000,"14:02:50,211","14:03:02,272","14:03:18,516",efectivo,Eran viejitas entonces me movieron lento de la fila
284,RjFS1xt6dN8yj6hZaU77,sábado,14:03:33.560000,"14:03:35,578","14:04:09,603","14:04:09,855",efectivo,
273,Q0SAIC0GQLIHO1864kpM,sábado,11:47:26.715000,"11:47:51,474","11:47:59,750","11:48:20,956",Tarjeta,
494,lnFOqdhevRvq3Gr5ZfMQ,sábado,14:10:42.287000,"14:12:30,233","14:12:47,135","14:12:56,113",efectivo,
286,RsVqrsnj2Zl3kGjApw6I,sábado,12:40:41.918000,"12:42:14,985","12:42:52,212","12:43:12,573",Tarjeta,
485,l5ONO0tCin8vDhRDeQsL,sábado,13:44:51.136000,"13:49:12,405","13:49:32,652","13:50:35,626",efectivo,Se trabó el sistema al momento de subir el pedido 
490,lVV8E4rWP0xkEwWvkJ1m,sábado,14:48:39.241000,"14:51:38,725","14:52:03,753","14:52:19,379",Tarjeta,
280,QmwnXOdhWTECBgoLNcKR,sábado,12:03:15.223000,"12:03:19,120","12:03:46,664","12:04:01,001",Tarjeta,
313,Tx33s47He11sFs7tn6At,sábado,14:13:23.396000,"14:13:48,214","14:13:55,367","14:14:16,715",Tarjeta,
509,nlcxMIF8FqwmPQ8oxItM,sábado,13:45:00.504000,"13:50:39,927","13:51:19,095","13:53:53,465",bono,"Explicación de los helados por la cajera, el datáfono se volvió a dañar y tenían problemas para pasar el bono"
499,mIGjYE2JOvv1p7EmPFon,sábado,14:34:16.278000,"14:36:08,338","14:36:16,449","14:36:29,969",Tarjeta,
257,OS1uPf2OoW7Si9QHBrhO,sábado,13:55:03.076000,"13:56:00,148","13:56:14,175","13:56:25,381",efectivo,
423,ewiFoEytTJQyrFhWnDqv,sábado,14:05:52.159000,"14:06:39,145","14:06:56,967","14:06:59,022",efectivo,Cajera en cocina
212,JUoyqBem8730ohLoJEzq,sábado,12:04:10.726000,"12:05:05,650","12:05:16,994","12:05:22,647",efectivo,
525,plnlIJucr5z6rtoZtGPD,sábado,12:01:35.578000,"12:01:51,230","12:02:28,266","12:02:57,432",efectivo,
