,id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
121,D8EqWJkbOieel35xr3bh,"[{'inicio': '12:58:59,351', 'fin': '12:59:13,071'}, {'inicio': '12:59:13,815', 'fin': '12:59:28,949'}]",[],[],[],domingo,,"[{'inicio': '12:59:29,621', 'fin': '12:59:43,566'}, {'inicio': '12:59:44,191', 'fin': '13:00:01,262'}, {'inicio': '13:00:03,125', 'fin': '13:00:18,751'}]"
122,DCGrmAbSyj9dxlCD8KFF,[],[],[],[],sábado,Artesano ,"[{'inicio': '12:19:25,187', 'fin': '12:21:40,287'}]"
123,DM6W5qSTaz1JKndNDxzw,[],[],[],[],domingo,,"[{'inicio': '14:11:23,450', 'fin': '14:11:31,711'}]"
124,DgWXigTNcs5NHSmLSOBo,"[{'inicio': '13:56:37,878', 'fin': '13:57:42,462'}]",[],[],[],domingo,,[]
125,DmqqqYw0wtDTXvXrdSTk,"[{'inicio': '13:34:58,780', 'fin': '13:36:10,458'}, {'inicio': '13:37:20,825', 'fin': '13:40:01,358'}]",[],"[{'inicio': '13:36:33,249', 'fin': '13:37:13,647'}]",[],viernes,,"[{'inicio': '13:37:59,906', 'fin': '13:39:00,127'}]"
126,E5UqKxGyosvLkOLCncis,[],[],[],[],sábado,,"[{'inicio': '12:54:49,689', 'fin': '12:55:15,753'}]"
127,EF5H3GQXUWu5eogqMq0C,[],[],[],"[{'inicio': '14:50:31,538', 'fin': '14:54:43,476'}]",domingo,,[]
128,EGe6ZJEmAZmqBdjlkcK7,"[{'inicio': '14:54:09,732', 'fin': '14:55:19,180'}]",[],[],[],viernes,,[]
129,EHVEVHUVRxm4sCRO8sxx,[],[],[],[],domingo,,"[{'inicio': '15:00:48,115', 'fin': '15:01:21,160'}]"
130,EIc60JTFh92Vv6elQUGm,"[{'inicio': '14:22:13,269', 'fin': '14:22:57,058'}]",[],[],[],sábado,,"[{'inicio': '14:22:06,402', 'fin': '14:22:26,280'}]"
131,EMOk4w5y3Gt6m7Dk8FEa,"[{'inicio': '14:34:18,349', 'fin': '14:35:19,643'}]",[],[],[],viernes,,[]
132,EgDBOa4ylIoPBkmQkw8d,"[{'inicio': '14:29:40,040', 'fin': '14:32:44,305'}]",[],[],[],domingo,,[]
133,EjV9X2OQbWTAsA1rllmE,[],[],[],[],domingo,,"[{'inicio': '14:12:22,636', 'fin': '14:12:52,185'}, {'inicio': '14:13:01,758', 'fin': '14:13:11,667'}, {'inicio': '14:13:14,420', 'fin': '14:13:34,440'}]"
134,Eyu7dWj2dd3ep478ZtV8,"[{'inicio': '13:12:29,540', 'fin': '13:13:40,029'}]",[],[],[],sábado,,[]
135,FQSmuoI5WaAPbIqCQnWL,[],[],[],[],sábado,,"[{'inicio': '14:22:41,950', 'fin': '14:23:22,024'}]"
136,FSfytIxdf02VJJlirEE4,[],[],[],"[{'inicio': '14:12:02,102', 'fin': '14:15:16,291'}]",sábado,,[]
137,FVjbbaW4bMvLAsBza0WO,[],[],[],[],sábado,,"[{'inicio': '14:32:04,489', 'fin': '14:32:28,108'}]"
138,FbfB0A11t7I43l6H435f,[],[],[],[],domingo,,"[{'inicio': '15:07:43,787', 'fin': '15:08:21,176'}]"
139,FgP6hxKjx7PBBN0xK3Pj,[],[],[],[],viernes,,"[{'inicio': '14:48:53,767', 'fin': '14:49:10,377'}]"
140,FifOW3Pfun4nquMv4VCx,[],[],[],"[{'inicio': '14:07:29,519', 'fin': '14:10:26,466'}]",sábado,,[]
141,FkF2CWyWSvr6K8lefC6D,[],[],[],[],sábado,,"[{'inicio': '13:40:18,143', 'fin': '13:40:37,910'}, {'inicio': '13:40:39,003', 'fin': '13:40:59,090'}]"
142,FkrsrcZ0krX2iuDGWdwm,[],[],[],[],domingo,,"[{'inicio': '13:04:19,356', 'fin': '13:04:49,311'}, {'inicio': '13:04:55,948', 'fin': '13:05:18,990'}, {'inicio': '13:05:29,389', 'fin': '13:05:42,706'}]"
143,FouO6idmOrG4KZKNptH2,[],[],[],[],domingo,,"[{'inicio': '14:47:09,997', 'fin': '14:47:52,198'}, {'inicio': '14:47:53,055', 'fin': '14:48:01,115'}, {'inicio': '14:48:03,521', 'fin': '14:48:31,946'}, {'inicio': '14:48:35,431', 'fin': '14:48:44,255'}, {'inicio': '14:48:47,124', 'fin': '14:48:55,876'}, {'inicio': '14:49:06,498', 'fin': '14:49:21,765'}, {'inicio': '14:49:23,467', 'fin': '14:49:52,518'}]"
144,G0y7gyNYpoLa9i6A9EAW,"[{'inicio': '12:13:14,514', 'fin': '12:16:49,554'}]",[],"[{'inicio': '12:15:24,246', 'fin': '12:19:06,255'}]",[],domingo,Son 2 copas,[]
145,GVgagxRRGkJTihOU03zr,"[{'inicio': '13:55:12,363', 'fin': '13:55:38,537'}]",[],[],[],sábado,,"[{'inicio': '13:55:25,685', 'fin': '13:55:49,438'}]"
146,GfXdGYMFRzzJSQX0Cszh,[],[],[],[],domingo,,"[{'inicio': '12:06:55,410', 'fin': '12:07:17,474'}]"
147,GglM0EW7GQdhsakVwdwo,[],[],[],[],viernes,,"[{'inicio': '14:02:38,600', 'fin': '14:03:11,443'}]"
148,Gls6OWeRJiktejyZQede,[],"[{'inicio': '13:48:08,325', 'fin': '13:55:01,293'}, {'inicio': '13:55:02,490', 'fin': '13:56:58,639'}]",[],[],domingo,Unir los dos tiempos de gofre,"[{'inicio': '13:48:42,991', 'fin': '13:49:20,705'}]"
149,H8Upu0wzvsv3iGgDu6tH,[],[],[],[],domingo,,"[{'inicio': '14:37:35,296', 'fin': '14:37:37,166'}, {'inicio': '14:37:38,767', 'fin': '14:38:26,370'}]"
150,HEmMeFVC6zK5ylvyc6A9,[],[],[],[],domingo,,"[{'inicio': '14:04:45,093', 'fin': '14:04:50,828'}, {'inicio': '14:04:51,902', 'fin': '14:04:55,333'}, {'inicio': '14:04:56,291', 'fin': '14:05:11,615'}, {'inicio': '14:05:20,392', 'fin': '14:05:28,760'}, {'inicio': '14:05:29,526', 'fin': '14:05:35,829'}]"
151,HFqu2PHTYQh9KZs0Pm0s,[],[],[],[],domingo,,"[{'inicio': '13:36:37,978', 'fin': '13:36:47,155'}, {'inicio': '13:36:53,322', 'fin': '13:36:57,664'}, {'inicio': '13:37:13,793', 'fin': '13:37:20,777'}, {'inicio': '13:37:46,062', 'fin': '13:37:50,032'}]"
152,HpYaXIdjnNfsKV0L8crW,[],[],[],[],domingo,Artesano,"[{'inicio': '13:39:35,277', 'fin': '13:42:21,435'}]"
153,IAsw4Ddu0JvcseD3YbFM,[],[],[],[],viernes,,"[{'inicio': '13:27:38,227', 'fin': '13:27:55,375'}]"
154,IORaGu3IY5kWhmih1vPQ,[],[],[],[],domingo,,"[{'inicio': '13:10:08,241', 'fin': '13:11:22,261'}]"
155,IS0Y7aGjnxmkun63kHpX,[],[],[],[],domingo,,"[{'inicio': '14:17:58,971', 'fin': '14:18:07,415'}, {'inicio': '14:18:09,758', 'fin': '14:18:26,324'}, {'inicio': '14:18:28,207', 'fin': '14:18:44,554'}]"
156,IXUp0T8xTEcaUMMY0iFb,[],[],[],[],domingo,,"[{'inicio': '15:03:29,440', 'fin': '15:04:41,990'}, {'inicio': '15:04:46,516', 'fin': '15:05:32,975'}]"
157,IgmXoFYNWxkgytwYN5VZ,[],[],[],[],domingo,,"[{'inicio': '12:43:26,718', 'fin': '12:43:33,579'}, {'inicio': '12:43:34,055', 'fin': '12:43:38,587'}]"
158,Ik4HGXDfTPo5HH88Ntli,[],[],[],[],domingo,,"[{'inicio': '14:02:15,644', 'fin': '14:02:30,639'}, {'inicio': '14:02:38,494', 'fin': '14:02:51,507'}, {'inicio': '14:02:52,819', 'fin': '14:03:00,269'}]"
159,IkJeIdfRAwWU2RKB9R0q,[],"[{'inicio': '14:42:37,721', 'fin': '14:44:08,285'}]",[],[],domingo,,[]
160,IvyBnUeRSls2n9dZAifV,[],[],[],[],domingo,,"[{'inicio': '14:00:55,351', 'fin': '14:01:38,296'}, {'inicio': '14:01:39,735', 'fin': '14:02:31,504'}]"
161,IzD6GNULfTlSNou337Oh,[],[],[],[],viernes,,"[{'inicio': '13:53:11,608', 'fin': '13:53:42,652'}]"
162,J7rIiKuMtBcTVSBYGWyT,[],[],[],[],domingo,,"[{'inicio': '13:53:14,816', 'fin': '13:53:30,712'}]"
163,JF29BkCGEVh1qrFiZPJF,"[{'inicio': '13:31:24,783', 'fin': '13:32:31,344'}]",[],[],[],viernes,,[]
164,JOuynJv3QvMvqEDjXj7i,[],[],[],[],viernes,,"[{'inicio': '14:19:48,541', 'fin': '14:20:14,500'}]"
165,JSsrTQVyHLy5cg5gz0ph,"[{'inicio': '13:06:45,043', 'fin': '13:10:42,132'}]",[],[],[],sábado,,[]
166,JSz70xVr6aaOhlQhHi0n,[],[],"[{'inicio': '14:17:26,887', 'fin': '14:17:54,490'}]","[{'inicio': '14:13:20,296', 'fin': '14:17:51,016'}]",viernes,,[]
167,JSzidwwD9dg6sEJhXYUd,"[{'inicio': '13:08:52,860', 'fin': '13:10:07,387'}]",[],[],[],viernes,,[]
168,JaqbLAmmX8ypXuD1Jw9h,"[{'inicio': '14:00:55,475', 'fin': '14:02:12,760'}]",[],[],[],domingo,,[]
169,JotU7zjrCwjUHAHpj5dQ,[],[],[],[],sábado,,"[{'inicio': '12:24:57,065', 'fin': '12:25:05,798'}]"
170,JsH6wTAfdMjqTwScVITW,[],"[{'inicio': '12:59:25,270', 'fin': '13:04:50,796'}]",[],[],viernes,,[]
171,JzYvj74hze0aq4rZ0oUW,[],[],[],[],sábado,,"[{'inicio': '13:41:45,418', 'fin': '13:41:50,966'}]"
172,K7WpWwg8lOGcxYTYy2Rg,"[{'inicio': '14:03:05,195', 'fin': '14:07:25,043'}]",[],[],[],domingo,Son tres  copas ,[]
